Date,Address,City,State,lon,lat,Killed,Injured
"May 30, 2017",1200 Elliott Dr,Middletown,Ohio,-84.35245,39.5011,1,3
"May 29, 2017",231 Witherspoon St,Louisville,Kentucky,-85.75038,38.25763,1,3
"May 28, 2017",100 block of 6th Street South,Phenix City,Alabama,-84.99518,32.43594,0,12
"May 28, 2017",86 Main Street,Paterson,New Jersey,-74.17308,40.91971,1,5
"May 28, 2017",6103 Hwy. 63,Moss Point,Mississippi,-88.52576,30.43142,0,5
"May 27, 2017",318 W 14th St,New York (Manhattan),New York,-74.00365,40.73998,0,4
"May 27, 2017",100 block of Q Street Northwest,Washington,District of Columbia,-77.0065,38.91112,1,7
"May 27, 2017",2871 Lee Drive,Bogue Chitto,Mississippi,-90.46051,31.41236,8,1
"May 26, 2017",2730 NW 167th St,Miami,Florida,-80.2458,25.926,0,4
"May 21, 2017",4300 Beaver Dr,Des Moines,Iowa,-93.67893,41.63881,1,3
"May 21, 2017",441 N Val Vista Dr,Mesa,Arizona,-111.75218,33.4238,0,4
"May 20, 2017",2100 block of W Huntingdon St,Philadelphia,Pennsylvania,-75.16285,39.99339,0,10
"May 16, 2017",21785 Lowcountry Hwy,Ruffin,South Carolina,-80.81516,33.00484,3,1
"May 14, 2017",311 S Main St,Jonesboro,Arkansas,-90.7052,35.83981,1,6
"May 14, 2017",14112 Chicago Road,Dolton,Illinois,-87.60786,41.63848,0,5
"May 14, 2017",Hal McRae Blvd and Delaney Ave,Avon Park,Florida,-81.49813,27.58467,0,5
"May 14, 2017",8600 block of Calmont Ave,Fort Worth,Texas,-97.46726,32.736,0,4
"May 10, 2017",300 block of Centre St,Trenton,New Jersey,-74.75949,40.20973,1,3
"May 9, 2017",1900 block of S. Boeke,Kansas City,Kansas,-94.63286,39.06592,3,1
"May 7, 2017",2600 block of 46th Pl,Chicago,Illinois,-87.68929,41.80927,2,8
"May 4, 2017",600 block of Copeman Boulevard,Flint,Michigan,-83.7113,43.02864,1,3
"May 2, 2017",1566 West 24th Street,Jacksonville,Florida,-81.682,30.35852,1,3
"May 1, 2017",3200 block of Reynolds Ave,Dallas,Texas,-96.740710000000007,32.78641,2,3
"April 30, 2017",9080 Judicial Dr,San Diego,California,-117.20295,32.8716,2,6
"April 30, 2017",4104 SW 28th,Topeka,Kansas,-95.72808,39.01698,4,1
"April 30, 2017",1200 Ken Knight Dr N,Jacksonville,Florida,-81.71693,30.39142,0,5
"April 30, 2017",268 N Sea Green Rd,Loris,South Carolina,-78.97817,34.10163,1,5
"April 29, 2017",12800 block of Kitchen House Way,Germantown,Maryland,-77.26575,39.1506,1,3
"April 29, 2017",Murchison St and Lancaster Ave,Los Angeles (Boyle Heights),California,-118.19678,34.05787,1,3
"April 29, 2017",3800 block of 26th Avenue,Sacramento,California,-121.46568,38.52881,0,5
"April 29, 2017",10000 block of Carmentia Rd,Whittier,California,-118.04643,33.94419,1,5
"April 29, 2017",2000 Block of N Nestor Ave,Compton,California,-118.24969,33.91032,0,4
"April 29, 2017",200 block of 18th St,Virginia Beach,Virginia,-75.97454,36.84634,0,4
"April 28, 2017",5 E 21st St,Chester,Pennsylvania,-75.36648,39.86359,0,4
"April 27, 2017",1100 block of S Orange Ave,Newark,New Jersey,-74.23442,40.74545,1,3
"April 26, 2017",SW 264th St and 139th Ave,Miami,Florida,-80.4167,25.52176,0,4
"April 21, 2017",2500 block of Vernon Dr,Palm Bay,Florida,-80.59474,28.05828,2,2
"April 20, 2017",700 block of East Jacob Street,Louisville,Kentucky,-85.74186,38.24298,0,4
"April 16, 2017",110 Calhoun Street,Vallejo,California,-122.26663,38.12063,0,4
"April 16, 2017",611 S Martin St,Elizabeth City,North Carolina,-76.22169,36.29426,0,4
"April 16, 2017",1710 Cleveland Av,Columbus,Ohio,-82.97519,40.00093,0,9
"April 15, 2017",311 W  2nd St,Rock Falls,Illinois,-89.6943,41.78058,0,4
"April 15, 2017",300 block of S Meridian St,Indianapolis,Indiana,-86.15832,39.76241,0,4
"April 15, 2017",1480 Center Point Pkwy,Birmingham,Alabama,-86.68625,33.62379,0,6
"April 15, 2017",5900 block of Hammond Street,Philadelphia,Pennsylvania,-75.11685,40.03944,0,4
"April 15, 2017",14600 block of Myrtle Avenue,Harvey,Illinois,-87.6527,41.62429,0,4
"April 15, 2017",900 block of N Allen St,Banning,California,-116.86203,33.93352,0,4
"April 13, 2017",30 Anderson Ave SW,Atlanta,Georgia,-84.44602,33.75383,1,3
"April 9, 2017",3100 block of Fidelia Drive,San Antonio,Texas,-98.56043,29.30923,1,3
